Cód Suc;Desc;Precio;Costo;Ganancia_$;Margen_%
1071;PROMO PALETA Y QUESO;3699,99;2392,993;1306,997;35,32
1091;RICOTTA LA NINA;3999,99;2485,144;1514,846;37,87
1098;QUESO DE OVEJA PECORINO;95999,99;71491,17;24508,82;25,53
1101;AC.VDE FCO DESC X 700 G;10999,9;6824,526;4175,374;37,96
1136;TABL.CORAZ COCIDO Y CRUDO;19999,99;5984,697;14015,293;70,08
1146;TABL.CORAZ LOMITO Y SALAMIN;20999,99;6243,116;14756,874;70,27
1160;MEMB. ESNAOLA LATA X 700 G;6699,99;4629,178;2070,812;30,91
1161;VINO NINA MALBEC;7199,99;5830,942;1369,048;19,01
1162;VINO PRIV J RUBIO MALBEC;8899,99;6841,744;2058,246;23,13
1163;ALFAJOR HAEDO;749,99;485;264,99;35,33
1167;MOLINILLO MIX DE PIMIENTAS;7699,99;5490,709;2209,281;28,69
1169;BERENJENAS CASERAS;25999,9;12913,254;13086,646;50,33
1177;MERM. TOMATE LOS CAROLINOS;3399,99;2248,844;1151,146;33,86
1180;ALFAJOR CHOC BCO CACHAFAZ;1899,99;1365,943;534,047;28,11
1216;RECARGA MIX DE PIMIENTAS;6699,99;4786,771;1913,219;28,56
1240;VINO LUIGI BOSCA MALBEC;12999,99;9905,124;3094,866;23,81
1284;LEVADURA ORALI;8599,99;4643,298;3956,692;46,01
1310;PROMO BOCATTI Y QUESO;8049,99;5702,18;2347,81;29,17
1334;POR SALUT PAULINA X MEDIA H;9699,99;7159,57;2540,42;26,19
1339;BARRA CON AJI;21199,9;12138,628;9061,272;42,74
1345;GALL.DE ARROZ DULCES;1299,99;892,399;407,591;31,35
1353;PAN HAMB PAPA PAZZI;3199,99;2268,962;931,028;29,09
1354;PAN HAMB PAPA C/Q PAZZI;3999,99;2787,878;1212,112;30,3
1378;MIX ENERGETICO;12599,9;7507,795;5092,105;40,41
1382;SOJA TEXT. SABOR POLLO;1999,99;1262,831;737,159;36,86
1386;SALCHICHAS FRIOLIM X 6 U;1599,99;1079,898;520,092;32,51
1391;CREMOSO DE CABRA;41999,99;28962,221;13037,769;31,04
1399;PAN RUSTICO;4500;3350;1150;25,56
1404;PIZZETAS MALU;1999,99;1403,663;596,327;29,82
1411;VINO STA JULIA LATA CHENIN DUL;3199,99;2160,383;1039,607;32,49
1415;CYNAR;10599,99;7834,201;2765,789;26,09
1416;GALL. DE ARROZ CON SAL;1299,99;892,399;407,591;31,35
1417;GALL. DE ARROZ SIN SAL;1299,99;892,399;407,591;31,35
1421;LECHE DESLACTOSADA;2299,99;1747,416;552,574;24,03
1432;MAR DEL PLATA X MEDIA HORMA;11999,99;9689,504;2310,486;19,25
1433;MOZZARELLA X 1/2 HORMA;4999,99;4566,867;433,123;8,66
1435;SARDO OFERTA X 1/2 HORMA;5799,99;5005,197;794,793;13,7
1441;BERENJ X 350 AL ESCABECHE;5399,99;3613,635;1786,355;33,08
1452;CREMA LS;2349,99;1863,366;486,624;20,71
1453;BARRA PAULINA SABOR INTENSO;19999,9;11636,919;8362,981;41,82
1481;PAN DULCE CON CHOCOLATE FAR;3800;3000;800;21,05
1482;PAN DULCE FARGO X 400 GRS;3400;2700;700;20,59
1501;GRISINES CLASICO BLANCO;999,99;683,563;316,427;31,64
1509;JAM BOCATTI  X 1/4;21999,96;15800,138;6199,822;28,18
1525;AC.VDE CON ROQUEFORT;44999,9;27281,577;17718,323;39,37
1570;MOST A LA ANTIGUA X 360 G;5699,99;3802,788;1897,202;33,28
1595;TABLITA LOVE QUESOS;16299,99;11228,832;5071,158;31,11
1611;ESPARRAGOS MORANDO X 220 G;9499,99;6323,426;3176,564;33,44
1617;QUESO ADLER AZUL;2399,99;1648,802;751,188;31,3
1618;QUESO ADLER FONTINA;2399,99;1648,802;751,188;31,3
1619;QUESO ADLER GRUYERE;2399,99;1648,802;751,188;31,3
1620;QUESO ADLER JAMON;2399,99;1648,802;751,188;31,3
1621;QUESO ADLER SALAME;2399,99;1648,802;751,188;31,3
1622;QUESO CREMATTO LIGHT MILKAUT;2999,99;2057,625;942,365;31,41
1623;QUESO CREMATTO MILKAUT;2999,99;2057,625;942,365;31,41
1626;ROQUEFORT BAVARIA;29499,99;16698,699;12801,291;43,39
1627;PROVOLONE STA ROSA;40999,99;25750,074;15249,916;37,19
1631;LECHE ENTERA MILKAUT X 1 L;1649,99;1432,583;217,407;13,18
1638;QUESO ATUEL STA ROSA;29499,99;17320,584;12179,406;41,29
1667;HUMMUS GARBANZO FLV;2399,99;1738,531;661,459;27,56
1685;MERM BATATA CORMILLOT;2499,99;1659,635;840,355;33,61
1706;JAMON COCIDO EST SAN FRANC X 1;17199,96;10965,011;6234,949;36,25
1718;CERV BLEST FRAMB BOT;3699,99;2896,093;803,897;21,73
1719;CHEDDAR EN FETAS;20999,9;13193,079;7806,821;37,18
1720;PROVOLETA TROZ STA ROSA;46999,99;28427,566;18572,424;39,52
1724;YOG LIGHT C/ FRUTILLA MILK;1299,99;1052,304;247,686;19,05
